"ANXA1 - 
202L/148
200nM
","AREG - 
478L/148
200nM
"
"BMP8B - 
824L/148
200nM
","CD48 - 
725L/148
200nM
"
"CLEC4A - 
576L/148
200nM
","CLEC4A - 
576L/148
200nM
"
"CNTF - 
231L/148
200nM
","CNTF - 
231L/148
200nM
"
"CSF2 - 
27L/148
200nM
","CSF2 - 
27L/148
200nM
"
"CSF2 - 
27L/148
200nM
","CSF2 - 
27L/148
200nM
"
"CSF2 - 
27L/148
200nM
","CSF2RB - 
981L/148
200nM
"
"CSF2RB - 
981L/148
200nM
","CSF2RB - 
981L/148
200nM
"
"CSF3R - 
982L/148
200nM
","CSF3R - 
982L/148
200nM
"
"CSF3R - 
982L/148
200nM
","CST7 - 
729L/148
200nM
"
"CST7 - 
729L/148
200nM
","CST7 - 
729L/148
200nM
"
"CTLA4 - 
86L/148
200nM
","CTLA4 - 
86L/148
200nM
"
"GDF1 - 
815L/148
200nM
","GDF7 - 
813L/148
200nM
"
"GDF9 - 
829L/148
200nM
","GDF9 - 
829L/148
200nM
"
"GDF9 - 
829L/148
200nM
","GDF9 - 
829L/148
200nM
"
"GDNF - 
972L/148
200nM
","GDNF - 
972L/148
200nM
"
"ICAM1 - 
640L/148
200nM
","ICAM1 - 
640L/148
200nM
"
"IFNL3 - 
799L/148
200nM
","ifnl3 - 
799L/148
200nM
"
"IFNL3 - 
799L/148
200nM
","IFNL3 - 
799L/148
200nM
"
"ifnl3 - 
799L/148
200nM
","IFNL4 - 
979L/148
200nM
"
"IL18BP - 
450L/148
200nM
","IL18BP - 
450L/148
200nM
"
"IL1A - 
8L/148
200nM
","IL1A - 
8L/148
200nM
"
"IL1A - 
8L/148
200nM
","IL1A - 
8L/148
200nM
"
"IL1RAP - 
984L/148
200nM
","IL1RAP - 
984L/148
200nM
"
"IL1RAP - 
984L/148
200nM
","IL20RA - 
974L/148
200nM
"
"IL20RA - 
974L/148
200nM
","IL20RA - 
974L/148
200nM
"
"IL20RA - 
974L/148
200nM
","IL20RA - 
974L/148
200nM
"
"IL20RA - 
974L/148
200nM
","IL20RA - 
974L/148
200nM
"
"IL25 - 
96L/148
200nM
","IL25 - 
96L/148
200nM
"
"IL25 - 
96L/148
200nM
","IL25 - 
96L/148
200nM
"
"IL25 - 
96L/148
200nM
","IL25 - 
96L/148
200nM
"
"IL3 - 
20L/148
200nM
","IL3 - 
20L/148
200nM
"
"IL3 - 
20L/148
200nM
","IL3 - 
20L/148
200nM
"
"IL36G - 
619L/148
200nM
","IL36G - 
619L/148
200nM
"
"IL36G - 
619L/148
200nM
","IL36G - 
619L/148
200nM
"
"IL3RA - 
646L/148
200nM
","IL3RA - 
646L/148
200nM
"
"INHA - 
752L/148
200nM
","INHA - 
752L/148
200nM
"
"INHBA - 
753L/148
200nM
","INHBA - 
753L/148
200nM
"
"INHBA - 
753L/148
200nM
","INHBA - 
753L/148
200nM
"
"KitLG - 
676L/148
200nM
","KITLG - 
676L/148
200nM
"
"LEP - 
515L/148
200nM
","LEP - 
515L/148
200nM
"
"LEP - 
515L/148
200nM
","LEP - 
515L/148
200nM
"
"LEP - 
515L/148
200nM
","MICA - 
618L/148
200nM
"
"MICA - 
618L/148
200nM
","MICA - 
618L/148
200nM
"
"MICA - 
618L/148
200nM
","NODAL - 
276L/148
200nM
"
"NODAL - 
276L/148
200nM
","PDGFA - 
548L/148
200nM
"
"TGFA - 
761L/148
200nM
","TGFA - 
761L/148
200nM
"
"TGFA - 
761L/148
200nM
","TGFA - 
761L/148
200nM
"
"VEGFA - 
121L/148
200nM
","VEGFA - 
121L/148
200nM
"
